10,13,1
5,15,2
10,9,3
9,9,4
2,8,5
2,6,6
11,8,7
8,3,8
2,9,9
11,4,10
5,5,11
8,14,12
7,5,13
10,2,14
3,9,15
6,1,16
2,6,17
1,8,18
1,9,19
5,5,20
11,12,21
1,8,22
8,11,23
8,9,24
8,3,25
3,1,26
2,1,27
8,10,28
8,4,29
9,13,30
6,8,31
10,9,32
9,6,33
8,15,34
9,11,35
2,2,36
1,1,37
2,9,38
4,3,39
5,14,40
2,7,41
2,8,42
1,9,43
4,4,44
4,5,45
8,1,46
3,13,47
11,2,48
8,2,49
9,8,50
10,15,51
6,11,52
7,11,53
9,4,54
9,1,55
2,1,56
8,2,57
3,6,58
5,6,59
3,8,60
11,8,61
5,3,62
11,4,63
11,7,64
5,6,65
2,3,66
8,13,67
10,7,68
3,8,69
2,1,70
6,1,71
8,1,72
11,14,73
8,11,74
10,1,75
8,3,76
2,1,77
2,11,78
10,1,79
9,4,80
8,6,81
5,2,82
7,3,83
6,4,84
9,1,85
6,7,86
11,4,87
5,14,88
11,10,89
7,10,90
4,2,91
2,6,92
2,14,93
1,3,94
10,8,95
1,13,96
5,7,97
7,9,98
2,12,99
7,3,100
9,3,101
6,15,102
10,11,103
1,3,104
9,6,105
7,2,106
8,3,107
6,1,108
10,8,109
6,12,110
1,12,111
6,5,112
7,5,113
4,14,114
11,3,115
3,10,116
5,15,117
5,6,118
10,13,119
11,6,120
2,3,121
1,11,122
6,6,123
11,15,124
9,13,125
7,7,126
11,3,127
9,9,128
9,13,129
6,5,130
3,6,131
2,14,132
9,10,133
4,14,134
3,12,135
9,12,136
6,10,137
8,3,138
10,15,139
8,12,140
9,11,141
5,8,142
2,11,143
11,12,144
6,13,145
8,12,146
7,14,147
7,2,148
6,3,149
8,6,150
1,15,151
11,10,152
6,13,153
5,13,154
10,11,155
1,13,156
10,14,157
3,13,158
8,7,159
5,14,160
9,4,161
1,1,162
9,10,163
1,4,164
8,5,165
1,6,166
5,12,167
7,10,168
10,4,169
11,6,170
4,7,171
10,7,172
5,1,173
11,10,174
2,14,175
10,8,176
8,4,177
11,15,178
6,11,179
7,10,180
4,5,181
5,4,182
6,1,183
1,2,184
6,4,185
7,5,186
11,15,187
1,5,188
11,9,189
11,6,190
8,9,191
7,12,192
5,14,193
10,5,194
11,6,195
3,1,196
1,9,197
4,6,198
3,11,199
6,10,200
4,5,201
8,1,202
5,4,203
10,7,204
8,12,205
2,14,206
4,7,207
6,7,208
2,2,209
9,1,210
2,11,211
7,13,212
8,13,213
11,5,214
2,8,215
11,8,216
6,6,217
3,12,218
4,13,219
11,11,220
6,9,221
10,5,222
10,9,223
8,13,224
11,11,225
7,10,226
6,15,227
10,1,228
10,4,229
2,4,230
7,4,231
4,8,232
1,1,233
9,9,234
9,6,235
10,11,236
5,7,237
8,12,238
7,10,239
9,3,240
6,8,241
4,3,242
9,2,243
8,5,244
3,9,245
7,12,246
6,14,247
11,3,248
8,2,249
7,2,250
3,3,251
1,6,252
2,8,253
4,8,254
11,5,255
2,10,256
9,5,257
6,15,258
4,5,259
7,7,260
7,7,261
8,6,262
7,13,263
11,6,264
1,6,265
9,6,266
4,9,267
3,9,268
4,12,269
7,13,270
10,14,271
9,2,272
6,1,273
10,5,274
3,15,275
8,3,276
5,8,277
11,14,278
6,8,279
5,13,280
2,10,281
9,11,282
10,14,283
10,5,284
6,1,285
6,9,286
4,4,287
6,15,288
2,7,289
2,10,290
7,9,291
6,4,292
8,14,293
5,7,294
2,2,295
9,15,296
6,5,297
4,12,298
8,14,299
